form	lemma	POS	morph
je	je	PROper	PERS.=1|NOMB.=s|CAS=n
supplie	supplier	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
a	à	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
tout	tout	DETind	NOMB.=s|GENRE=m
le	le	DETdef	NOMB.=s|GENRE=m
monde	monde	NOMcom	NOMB.=s|GENRE=m
diligentement	diligentement	ADVgen	MORPH=empty
considerer	considérer	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Toutesfoys	toutefois	VERcjg	PERS.=1|NOMB.=p
pour	pour	PRE	MORPH=empty
ung	un	NOMcom	NOMB.=s|GENRE=m
peu	peu	ADVgen	MORPH=empty
le	il	PROper	NOMB.=s|GENRE=m
toucher	toucher	VERinf	MORPH=empty
/	/	CONcoo	MORPH=empty
et	et	CONcoo	MORPH=empty
ayder	aider	VERinf	MORPH=empty
l'	le	DETdef	NOMB.=s
esperit	esprit	NOMcom	NOMB.=s|GENRE=m
des	de_le	PRE.DETdef	NOMB.=p
plus	plus	ADVgen	MORPH=empty
petis	petit	ADJqua	NOMB.=p|GENRE=m
/	/	CONcoo	MORPH=empty
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
7	7	INJ	MORPH=empty
.	.	PONfrt	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
ainsi	ainsi	ADVgen	MORPH=empty
escrit	écrire	NOMcom	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
Il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
estoit	être	VERcjg	MODE=ind|TEMPS=ipf|PERS.=3|NOMB.=s
convenable	convenable	ADJqua	NOMB.=s|GENRE=m
que	que	CONsub	MORPH=empty
nous	nous	PROper	PERS.=1|NOMB.=p
eussions	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
ung	un	ADJqua	NOMB.=s|GENRE=m
evesque	évêque	ADJqua	NOMB.=s|GENRE=m
/	/	CONcoo	MORPH=empty
sainct	saint	NOMcom	NOMB.=p|GENRE=m
/	/	CONcoo	MORPH=empty
innocent	innocent	ADJqua	NOMB.=s|GENRE=m
/	/	CONcoo	MORPH=empty
et	et	CONcoo	MORPH=empty
sans	sans	PRE	MORPH=empty
macule	macule	NOMcom	NOMB.=s|GENRE=f
:	:	PONfbl	MORPH=empty
lequel	lequel	PROrel	NOMB.=s|GENRE=f
n'	ne	ADVneg	MORPH=empty
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
point	point	ADVneg	MORPH=empty
necessite	nécessiter	VERcjg	PERS.=3|NOMB.=s
de	de	PRE	MORPH=empty
offrir	offrir	VERinf	MORPH=empty
tous	tout	DETind	NOMB.=p|GENRE=m
les	le	DETdef	NOMB.=p|GENRE=m
jours	jour	NOMcom	NOMB.=p|GENRE=m
sacrifices	sacrifice	ADJqua	NOMB.=p|GENRE=m
:	:	PONfbl	MORPH=empty
premierement	premièrement	ADVgen	MORPH=empty
pour	pour	PRE	MORPH=empty
ses	son	DETpos	PERS.=3|NOMB.=p|GENRE=m
pechez	péché	NOMcom	NOMB.=p|GENRE=m
/	/	CONcoo	MORPH=empty
puis	puis	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
apres	après	PRE	MORPH=empty
pour	pour	PRE	MORPH=empty
ceulx	celui	PROdem	NOMB.=p|GENRE=m
du	de_le	PRE.DETdef	NOMB.=s|GENRE=m
peuple	peuple	NOMcom	NOMB.=s|GENRE=m
:	:	PONfbl	MORPH=empty
car	car	CONcoo	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
a	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
faict	faire	VERppe	MORPH=empty
ce	ce	PROdem	NOMB.=s|GENRE=n
/	/	ADVneg	MORPH=empty
en	en	PROadv	MORPH=empty
se	se	PROper	PERS.=3
offrant	offrir	VERppa	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
foys	fois	NOMcom	NOMB.=p|GENRE=f
.	.	PONfrt	MORPH=empty
Notamment	notamment	ADVgen	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
:	:	PONfbl	MORPH=empty
En	en	PROadv	MORPH=empty
se	se	PROper	PERS.=3
offrant	offrir	VERppa	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
foys	fois	NOMcom	NOMB.=p|GENRE=f
.	.	PONfrt	MORPH=empty
Car	car	CONcoo	MORPH=empty
jamais	jamais	ADVgen	MORPH=empty
ceste	ce	DETdem	NOMB.=s|GENRE=f
oblation	oblation	NOMcom	NOMB.=s|GENRE=f
ne	ne	ADVneg	MORPH=empty
fut	être	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
ny	ni	ADVgen	MORPH=empty
ne	ne	ADVneg	MORPH=empty
sera	être	VERcjg	MODE=ind|TEMPS=fut|PERS.=3|NOMB.=s
reiteree	réitérer	NOMcom	NOMB.=s|GENRE=f
/	/	CONcoo	MORPH=empty
ne	ne	ADVneg	MORPH=empty
aucune	aucun	DETind	PERS.=3|NOMB.=s
pareille	pareil	NOMcom	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Item	item	NOMcom	NOMB.=s|GENRE=m
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
9	9	INJ	MORPH=empty
.	.	PONfrt	MORPH=empty
chapitre	chapitre	NOMcom	NOMB.=s|GENRE=m
Christ	Christ	NOMpro	NOMB.=s|GENRE=m
evesque	évêque	ADJqua	NOMB.=s|GENRE=f
des	de_le	PRE.DETdef	NOMB.=p|GENRE=f
biens	bien	NOMcom	NOMB.=p|GENRE=m
a	à	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
advenir	advenir	VERinf	MORPH=empty
par	par	PRE	MORPH=empty
son	son	DETpos	PERS.=3|NOMB.=s|GENRE=m
propre	propre	ADJqua	NOMB.=s|GENRE=m
sang	sang	NOMcom	NOMB.=s|GENRE=m
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
entre	entre	PRE	MORPH=empty
une	un	DETndf	NOMB.=s|GENRE=f
foys	fois	NOMcom	NOMB.=p|GENRE=f
es	en_le	NOMcom	NOMB.=p
sanctuaires	sanctuaire	ADJqua	NOMB.=p|GENRE=m
.	.	PONfrt	MORPH=empty
Voicy	voici	VERcjg	MODE=imp|NOMB.=p
ou	ou	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
rechief	rechef	NOMcom	NOMB.=s|GENRE=m
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
dit	dire	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
que	que	CONsub	MORPH=empty
par	par	PRE	MORPH=empty
se	se	PROper	PERS.=3
estre	être	VERinf	MORPH=empty
presente	présenter	ADJqua	GENRE=f
une	un	DETndf	NOMB.=s|GENRE=f
foys	fois	NOMcom	NOMB.=p|GENRE=f
/	/	CONcoo	MORPH=empty
redemption	rédemption	NOMcom	NOMB.=s|GENRE=f
eternelle	éternel	ADJqua	NOMB.=s|GENRE=f
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
faicte	faire	VERppe	NOMB.=s|GENRE=f
.	.	PONfrt	MORPH=empty
Parquoy	parquoi	PRE.PROrel	NOMB.=s
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
est	être	VERcjg	MODE=ind|TEMPS=pst|PERS.=3|NOMB.=s
evident	évident	NOMcom	NOMB.=p|GENRE=m
que	que	CONsub	MORPH=empty
en	en	ADVgen	MORPH=empty
nostre	notre	DETpos	PERS.=1|NOMB.=s|GENRE=f
redemption	rédemption	NOMcom	NOMB.=s|GENRE=f
ne	ne	ADVneg	MORPH=empty
avons	avoir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
besoing	besoin	NOMcom	NOMB.=s|GENRE=m
de	de	PRE	MORPH=empty
telz	tel	DETind	NOMB.=p|GENRE=m
sacrificateurs	sacrificateur	NOMcom	NOMB.=p|GENRE=m
/	/	CONcoo	MORPH=empty
si	si	CONsub	MORPH=empty
nous	nous	PROper	PERS.=1|NOMB.=p
ne	ne	ADVneg	MORPH=empty
voulons	vouloir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=p
renoncer	renoncer	VERinf	MORPH=empty
a	à	VERcjg	PERS.=3|NOMB.=s
la	le	DETdef	NOMB.=s|GENRE=f
mort	mort	NOMcom	NOMB.=s|GENRE=f
de	de	PRE	MORPH=empty
Jesus	Jésus	NOMpro	NOMB.=p|GENRE=m
christ	christ	VERcjg	NOMB.=s
.	.	PONfrt	MORPH=empty
Item	item	NOMcom	NOMB.=s|GENRE=m
au	à_le	PRE.DETdef	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
10	10	INJ	NOMB.=s
.	.	PONfrt	MORPH=empty
chapitre	chapitre	NOMcom	NOMB.=s|GENRE=m
.	.	PONfrt	MORPH=empty
Voicy	voici	VERcjg	MODE=imp|PERS.=2|NOMB.=s
je	je	PROper	PERS.=1|NOMB.=s|CAS=n
viens	venir	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
:	:	PONfbl	MORPH=empty
affin	afin	ADJqua	NOMB.=s|GENRE=m
sire	sire	NOMcom	NOMB.=s|GENRE=m
Dieu	Dieu	NOMpro	NOMB.=s|GENRE=m
que	que	CONsub	MORPH=empty
je	je	PROper	PERS.=1|NOMB.=s|CAS=n
